text,label
Suffering from Yellow eyes and dark urine frequently,Gastroenterology
Sore throat with struggle swallowing in the evening at night,ENT
serious menstrual cramps,Gynecology
moderate abrupt vision loss,Ophthalmology
Weakness on one side of body occasionally,Neurology
continuous migraine with aura,Neurology
I'm experiencing Health concern not specific to any organ,General Physician
Currently having Back pain radiating down leg,Orthopedics
Dealing with unbearable Fluttering sensation in thorax with lightheadedness,Cardiology
Nosebleeds and facial pressure occasionally,ENT
Anxiety and panic attacks for the past 3 days,Psychiatry
Suffering from Tremors in hands and difficulty walking for 10 weeks,Neurology
Neck stiffness and soreness for 9 weeks,Orthopedics
Presenting with Persistent skin infection not healing,Dermatology
slight Ringing in ears and vertigo ongoing for 4 days,ENT
slight Vomiting blood or coffee ground material,Gastroenterology
High blood pressure and dizziness,Cardiology
Blurred vision and eye pain,Ophthalmology
General wellness advice needed frequently,General Physician
slight Swollen joints with redness,Rheumatology
throbbing Moles changing in size or color constantly,Dermatology
problem seeing at night constantly,Ophthalmology
Suffering from Lupus symptoms with butterfly rash for 9 weeks,Rheumatology
mild Rapid heartbeat and thorax tightness,Cardiology
Persistent cough with fever for the past 8 days,Pulmonology
Severe abdominal pain with vomiting,Gastroenterology
Knee pain with bloating after injury constantly,Orthopedics
Kidney stone pain in side frequently,Urology
Depression and loss of interest for the past 3 days,Psychiatry
throbbing Hair loss and scalp irritation,Dermatology
Slurred speech and facial drooping since 12 days ago,Neurology
queasiness and loss of appetite,Gastroenterology
I'm experiencing Vaginal discharge with odor,Gynecology
sharp Insomnia and sleep disturbances since 1 days ago,Psychiatry
Dealing with Feeling unwell with general symptoms,General Physician
slight throbbing Heart palpitations and irregular heartbeat,Cardiology
prolonged migraine with aura,Neurology
dull Vomiting blood or coffee ground material intermittently,Gastroenterology
Having symptoms of long-term diarrhea and weight loss,Gastroenterology
Frequent urination at night,Urology
severe quick sight loss,Ophthalmology
continuous cough with blood in sputum at night,Pulmonology
Sudden severe headache like thunderclap,Neurology
Suffering from Heavy bleeding during periods,Gynecology
sharp dull Eating disorder with body image issues,Psychiatry
trouble respiration and wheezing ongoing for 7 days,Pulmonology
intense Yellow eyes and dark urine,Gastroenterology
Fatigue and weakness,General Physician
Acne and facial breakouts ongoing for 11 days,Dermatology
throbbing Multiple vague symptoms,General Physician
Erectile dysfunction since 12 days ago for the past 6 days,Urology
Joint agony and stiffness in morning for 13 weeks,Rheumatology
extreme extreme Red itchy eyes with discharge,Ophthalmology
Annual checkup needed,General Physician
discomfort in chest spreading to jaw and shoulder lasting 13 days,Cardiology
throbbing Currently having Menopausal hot flashes,Gynecology
Suffering from Slurred speech and facial drooping since 2 days ago,Neurology
extreme dull Feeling unwell with general symptoms,General Physician
Persistent cough with fever,Pulmonology
intense critical Heart palpitations and irregular heartbeat,Cardiology
throbbing Sudden loss of vision in one eye for 13 days,Ophthalmology
Fluttering sensation in thorax with lightheadedness,Cardiology
elevated temperature with general malaise,General Physician
Pelvic pain and heavy bleeding,Gynecology
sharp immediate loss of visual in one eye ongoing for 9 days,Ophthalmology
Testicular pain or swelling,Urology
Having symptoms of Hip pain when walking,Orthopedics
Bloating with gas and constipation at night,Gastroenterology
Gout with severe toe pain,Rheumatology
Mole changes in size and color occasionally,Dermatology
extreme Wheezing and difficulty exhaling,Pulmonology
Sharp chest pain when breathing deeply,Cardiology
unbearable Health concern not specific to any organ,General Physician
Painful joint inflammation in hands ongoing for 4 days for 6 days,Orthopedics
Double eyesight and floaters,Ophthalmology
Suffering from moderate Hoarse voice for more than two weeks,ENT
Dealing with Coughing up phlegm every morning for 2 days,Pulmonology
throbbing Rapid heartbeat and thorax tightness occasionally,Cardiology
rapid visual loss,Ophthalmology
extreme Swollen tonsils with white patches constantly,ENT
Suffering from Neck stiffness and pain frequently,Orthopedics
rapid sight loss ongoing for 4 days,Ophthalmology
throbbing Skin dermatitis with itching for 9 weeks,Dermatology
Currently having Kidney stones with severe pain for 7 days,Urology
Fibromyalgia with widespread pain,Rheumatology
Shortness of breath on exertion in the morning at night,Pulmonology
sharp Currently having Acne and facial breakouts,Dermatology
mild Mole changes in size and color,Dermatology
moderate Blurred eyesight and eye sharp tenderness,Ophthalmology
Presenting with rapid vision loss in the morning,Ophthalmology
Shoulder pain limiting movement,Orthopedics
dull Having symptoms of Suicidal thoughts and hopelessness,Psychiatry
Having symptoms of Sudden vision loss constantly,Ophthalmology
Persistent headslight ache with sick feeling and vomiting in the evening,Neurology
Lupus symptoms with butterfly skin irritation,Rheumatology
throbbing Weakness on one side of body,Neurology
Kidney stones with severe intense pain,Urology
Lupus symptoms with butterfly rash,Rheumatology
extreme extreme Anxiety and panic attacks,Psychiatry
Seizures and loss of consciousness periodically,Neurology
Coughing up phlegm every morning,Pulmonology
Testicular pain or swelling since 13 days ago ongoing for 9 days,Urology
paresthesia and tingling in extremities,Neurology
Dealing with Hives and allergic skin reaction for the past 12 days,Dermatology
Hives and allergic skin reaction during the day,Dermatology
Pregnancy symptoms and morning sickness ongoing for 4 days,Gynecology
Dealing with Currently having Hallucinations and delusions,Psychiatry
Multiple vague symptoms for the past 1 days,General Physician
slight Blood in urine constantly,Urology
immediate acute headache like thunderclap ongoing for 8 days,Neurology
Chest discomfort with cold sweats,Cardiology
extreme Suffering from Weakness on one side of body,Neurology
Moles changing in size or color,Dermatology
severe dull Mood swings and irritability,Psychiatry
Chronic bronchitis with mucus production in the evening for 13 weeks,Pulmonology
Pregnancy symptoms and morning sickness in the evening,Gynecology
Ankle sprain with bruising since 3 days ago,Orthopedics
Dealing with tiredness and weakness,General Physician
Crushing breast pain radiating to left arm,Cardiology
Swollen joints with redness during the day,Rheumatology
Suffering from Rapid heartbeat and chest tightness during the day,Cardiology
severe Knee hurt after physical activity,Orthopedics
mild extreme Breast lump or hurt,Gynecology
Chronic diarrhea and weight loss since 7 days ago,Gastroenterology
mild Yellow eyes and dark urine,Gastroenterology
Cold and flu symptoms,General Physician
unbearable Mood swings and irritability,Psychiatry
severe slight Vaginal discharge with odor,Gynecology
prolonged weakness and muscle slight aches ongoing for 1 days,Rheumatology
Gout with severe toe pain intermittently constantly,Rheumatology
Having symptoms of Blood in stool and stomach cramps,Gastroenterology
I'm experiencing Irregular menstrual periods,Gynecology
I'm experiencing Sharp soreness in lower right abdomen frequently,Gastroenterology
acute eczema with dry cracked skin for 14 days,Dermatology
mild Weakness on one side of body,Neurology
General wellness advice needed,General Physician
Menopausal hot flashes,Gynecology
Kidney stones with severe agony,Urology
unease attacks with panic since 14 days ago,Psychiatry
Blood in urine and flank pain in the morning,Urology
Presenting with Wrist pain with numbness in fingers,Orthopedics
Testicular throbbing pain or swelling,Urology
Weakness on one side of body,Neurology
Tremors in hands and hard time walking frequently,Neurology
Gout with sharp toe pain for 8 days,Rheumatology
Fever with general malaise,General Physician
Feeling unwell with general symptoms,General Physician
Suffering from Pregnancy symptoms and morning sickness,Gynecology
extreme Ringing in ears and vertigo since 10 days ago,ENT
dull Ankle sprain with swelling,Orthopedics
Ear ache with hearing loss for 4 weeks frequently,ENT
persistent tussis with blood in sputum ongoing for 8 days,Pulmonology
slight Chronic migraine with aura for the past 4 days,Neurology
Blurred sight and eye agony,Ophthalmology
Irregular menstrual periods,Gynecology
Dealing with Tremors in hands and problem walking,Neurology
Red itchy eyes with discharge,Ophthalmology
I'm experiencing Shortness of breath on exertion,Pulmonology
extreme Irregular menstrual periods,Gynecology
Bloating with gas and constipation,Gastroenterology
Sharp extreme pain in lower right abdomen,Gastroenterology
Persistent skin infection not healing constantly for 7 days,Dermatology
Chronic migraine with aura,Neurology
problem inhaling and wheezing constantly at night,Pulmonology
extreme Asthma attack with tight chest in the evening,Pulmonology
Painful joint puffiness in hands frequently,Orthopedics
acute abdominal slight pain with vomiting for the past 12 days,Gastroenterology
extreme eczema with dry cracked skin for the past 1 days,Dermatology
General wellness advice needed in the evening lasting 1 days,General Physician
weakness and weakness,General Physician
Pelvic dull hurt and heavy bleeding frequently,Gynecology
moderate Routine checkup needed,General Physician
Dealing with Erectile dysfunction constantly,Urology
Dizziness and balance problems,Neurology
Having symptoms of Heavy bleeding during periods periodically,Gynecology
Persistent skin infection not healing lasting 1 days,Dermatology
Fever with general malaise ongoing for 14 days,General Physician
unbearable Erectile dysfunction,Urology
Rheumatoid arthritis with joint deformity periodically,Rheumatology
moderate Suffering from Pregnancy symptoms and morning sickness,Gynecology
Wheezing and difficulty exhaling,Pulmonology
Menopausal hot flashes since 10 days ago occasionally,Gynecology
Menopausal hot flashes,Gynecology
dull Cold and flu symptoms intermittently,General Physician
extreme Swollen joints with redness,Rheumatology
I'm experiencing Depression and loss of interest,Psychiatry
Vaginal discharge with odor frequently frequently,Gynecology
tiredness and general weakness,General Physician
unbearable tiredness and weakness ongoing for 14 days,General Physician
extreme Acne breakouts on face and back,Dermatology
febrile with general malaise for 8 days,General Physician
Sudden loss of vision in one eye,Ophthalmology
intense intense Acid reflux and difficulty swallowing,Gastroenterology
Back hurt radiating down leg for the past 5 days,Orthopedics
Back pain radiating down leg,Orthopedics
Arthritis with morning stiffness,Orthopedics
Having symptoms of Seizures and loss of consciousness,Neurology
Currently having Incontinence and urinary leakage,Urology
Chest congestion and breathing difficulty for 14 weeks,Pulmonology
Frequent urination with burning,Urology
throbbing Eating disorder with body image issues,Psychiatry
Blood in urine,Urology
mild slight Swollen tonsils with white patches,ENT
Common cold symptoms frequently,General Physician
Ankle sprain with bruising in the evening,Orthopedics
breast congestion and breathing difficulty ongoing for 6 days for 2 days,Pulmonology
Health concern not specific to any organ lasting 12 days,General Physician
Blood in urine in the evening for the past 9 days,Urology
Presenting with Chronic stomach pain and indigestion lasting 2 days,Gastroenterology
Breast lump or pain at night in the morning,Gynecology
Severe eczema with dry cracked skin periodically,Dermatology
Irregular menstrual periods at night for the past 4 days,Gynecology
Testicular agony or edema frequently during the day,Urology
Loss of smell and taste ongoing for 5 days for 13 weeks,ENT
Chronic diarrhea and weight loss periodically,Gastroenterology
Gout with severe toe discomfort constantly intermittently,Rheumatology
Pelvic pain and discomfort,Gynecology
Pelvic ache and discomfort,Gynecology
extreme throbbing Bloating with gas and constipation,Gastroenterology
Itchy skin rash with redness,Dermatology
Acne breakouts on face and back since 2 days ago,Dermatology
Wheezing and struggle exhaling,Pulmonology
Double sight and floaters for 4 weeks,Ophthalmology
Muscle weakness and tiredness,Rheumatology
severe Neck stiffness and hurt ongoing for 4 days,Orthopedics
Ringing in ears and vertigo since 8 days ago,ENT
Suffering from Blurred visual and eye pain periodically,Ophthalmology
Heavy bleeding during periods lasting 2 days,Gynecology
Annual checkup needed during the day during the day,General Physician
Multiple vague symptoms,General Physician
Anxiety and panic attacks at night,Psychiatry
Pelvic intense mild ache and heavy bleeding,Gynecology
Currently having Severe menstrual cramps,Gynecology
moderate Acne and facial breakouts,Dermatology
Presenting with Joint pain and stiffness in morning,Rheumatology
Breast lump or pain,Gynecology
Skin dermatitis with itching lasting 4 days,Dermatology
Depression with loss of interest,Psychiatry
I'm experiencing Double vision and floaters,Ophthalmology
Suicidal thoughts and hopelessness,Psychiatry
Vaccination and preventive care for 2 weeks,General Physician
Racing heart with anxiety and chest moderate pain during the day,Cardiology
Rapid respiration with unease,Pulmonology
Having symptoms of Painful bladder with urgency,Urology
Currently having dull Slurred speech and facial drooping,Neurology
Floaters and flashes of light since 3 days ago,Ophthalmology
Rapid heartbeat and chest tightness at night,Cardiology
Dealing with hard time seeing at night for 14 days,Ophthalmology
Presenting with Electric shock sensations in body,Neurology
Painful intercourse ongoing for 10 days,Gynecology
Kidney stones with severe hurt,Urology
Hair loss and scalp irritation,Dermatology
Skin rash with itching ongoing for 12 days,Dermatology
Mood swings and irritability frequently,Psychiatry
Rheumatoid arthritis with joint deformity,Rheumatology
Migraine with nausea and light sensitivity,Neurology
Insomnia and sleep disturbances,Psychiatry
Dealing with Rapid breathing with anxiety,Pulmonology
Gout with critical toe throbbing pain,Rheumatology
Mood swings and irritability periodically,Psychiatry
Incontinence and urinary leakage ongoing for 14 days,Urology
mild Shoulder soreness with limited movement in the evening,Orthopedics
extreme nervousness attacks with panic for the past 14 days,Psychiatry
Blood in urine and flank slight pain ongoing for 10 days,Urology
slight Chronic bronchitis with mucus production,Pulmonology
Hair loss and scalp irritation for the past 8 days,Dermatology
severe Vaccination and preventive care,General Physician
extreme intense Persistent skin infection not healing,Dermatology
Feeling unwell with general symptoms occasionally,General Physician
slight Skin rash with itching,Dermatology
I'm experiencing Night sweats with persistent cough for 2 weeks,Pulmonology
Chest pain with shortness of breath and sweating occasionally since 10 days ago,Cardiology
slight Cold and flu symptoms,General Physician
Menopausal hot flashes at night,Gynecology
Presenting with Irregular menstrual periods,Gynecology
Currently having Irregular menstrual periods,Gynecology
Rheumatoid arthritis with joint deformity frequently,Rheumatology
Dealing with Eye injury with foreign object in the morning,Ophthalmology
sharp Lupus symptoms with butterfly skin eruption for the past 4 days,Rheumatology
Kidney stone moderate pain in side,Urology
I'm experiencing Migraine with nausea and light sensitivity,Neurology
Health concern not specific to any organ for 7 weeks,General Physician
Chronic lethargy and muscle aches for the past 6 days,Rheumatology
intense Mood swings and irritability,Psychiatry
Moles changing in size or color intermittently,Dermatology
Blurred vision and eye pain,Ophthalmology
Fluttering sensation in chest with lightheadedness,Cardiology
Sharp chest unbearable tenderness when breathing deeply since 1 days ago,Cardiology
febrile with body aches since 7 days ago,General Physician
dull Back hurt radiating down leg periodically,Orthopedics
Asthma attack with tight breast at night,Pulmonology
unsteadiness and balance problems at night,Neurology
Sharp chest agony when breathing deeply ongoing for 14 days in the evening,Cardiology
Presenting with Blood in urine and flank ache periodically,Urology
Coughing up phlegm every morning occasionally,Pulmonology
Fracture with severe bone pain,Orthopedics
throbbing I'm experiencing Cold and flu symptoms,General Physician
Itchy skin skin condition with redness at night lasting 10 days,Dermatology
sick feeling and loss of appetite periodically,Gastroenterology
Hives and allergic skin reaction lasting 1 days for 10 days,Dermatology
Blood in urine periodically,Urology
intense Hair loss and scalp irritation frequently,Dermatology
mild Obsessive thoughts and compulsive behavior for the past 9 days,Psychiatry
Dealing with Arthritis with morning stiffness,Orthopedics
Memory loss and confusion for 1 weeks,Neurology
slight Pressure in chest like an elephant sitting on it,Cardiology
Neck stiffness and sharp pain,Orthopedics
Presenting with Breast lump or pain,Gynecology
mild ongoing migraine with aura,Neurology
extreme febrile with general malaise occasionally,General Physician
severe I'm experiencing Red itchy eyes with discharge,Ophthalmology
Back pain radiating down leg,Orthopedics
Red itchy eyes with discharge at night frequently,Ophthalmology
Pressure in breast like an elephant sitting on it,Cardiology
slight General wellness advice needed,General Physician
Heart palpitations and irregular heartbeat,Cardiology
Having symptoms of Slurred speech and facial drooping,Neurology
Pain in chest spreading to jaw and shoulder,Cardiology
I'm experiencing Fracture with severe bone dull pain,Orthopedics
Having symptoms of Itchy skin rash with redness intermittently,Dermatology
Chronic cough with blood in sputum constantly,Pulmonology
mild Feeling unwell with general symptoms,General Physician
Night sweats with persistent hack,Pulmonology
Vaccination and preventive care,General Physician
Suffering from throbbing Fluttering sensation in chest with lightheadedness,Cardiology
Acne and facial breakouts in the evening lasting 4 days,Dermatology
Having symptoms of ongoing sinus infection and nasal congestion since 14 days ago,ENT
Fibromyalgia with widespread pain in the morning frequently,Rheumatology
Joint pain with bloating in multiple joints constantly occasionally,Rheumatology
mild Lupus symptoms with butterfly skin irritation,Rheumatology
Sharp soreness in lower right abdomen occasionally,Gastroenterology
Erectile dysfunction frequently,Urology
Severe abdominal throbbing pain with vomiting for 13 weeks,Gastroenterology
Chronic fatigue and muscle aches,Rheumatology
Shoulder ache with limited movement since 12 days ago,Orthopedics
Shoulder pain with limited movement,Orthopedics
mild Fatigue and general weakness for the past 12 days,General Physician
Ringing in ears and vertigo,ENT
Ankle sprain with bruising for 3 days,Orthopedics
Acid reflux and struggle swallowing ongoing for 9 days,Gastroenterology
Asthma attack with tight chest ongoing for 12 days,Pulmonology
Persistent headache with queasiness and vomiting occasionally frequently,Neurology
Having symptoms of worry attacks with panic constantly,Psychiatry
persistent fatigue and muscle mild aches,Rheumatology
Persistent skin infection not healing intermittently,Dermatology
I'm experiencing Erectile dysfunction,Urology
Hip soreness when walking constantly,Orthopedics
Joint pain and stiffness in morning,Rheumatology
Suffering from Cold and flu symptoms for 7 weeks,General Physician
Suffering from Numbness and tingling in extremities ongoing for 6 days,Neurology
sharp Insomnia and sleep disturbances,Psychiatry
Hair loss and scalp irritation,Dermatology
Having symptoms of Chest agony with shortness of breath and sweating,Cardiology
Presenting with Insomnia and trouble sleeping,Psychiatry
serious Common cold symptoms,General Physician
dull Having symptoms of Depression with loss of interest,Psychiatry
Pregnancy symptoms and morning sickness constantly,Gynecology
moderate Irregular pulse with fatigue,Cardiology
Chronic bronchitis with mucus production,Pulmonology
Rapid heartbeat and breast tightness,Cardiology
Menopausal hot flashes occasionally,Gynecology
I'm experiencing Fever with body aches,General Physician
Blurred sight and eye throbbing discomfort,Ophthalmology
Fungal infection with itching between toes since 4 days ago,Dermatology
Knee tenderness after physical activity lasting 14 days lasting 1 days,Orthopedics
sharp Presenting with Hoarse voice for more than two weeks,ENT
Severe headache with eyesight changes in the evening,Neurology
Having symptoms of Suffering from Sore throat with difficulty swallowing,ENT
Blood in urine and flank pain,Urology
Insomnia and sleep disturbances for 5 days,Psychiatry
Ringing in ears and vertigo,ENT
pyrexia with body aches,General Physician
Rapid inhaling with worry constantly,Pulmonology
Crushing breast slight pain radiating to left arm ongoing for 3 days,Cardiology
ongoing stomach pain and indigestion,Gastroenterology
sharp Post traumatic stress with flashbacks,Psychiatry
Acne breakouts on face and back for the past 13 days,Dermatology
Burning sensation in upper abdomen,Gastroenterology
Persistent head pain with feeling sick and vomiting,Neurology
Back pain radiating down leg occasionally lasting 6 days,Orthopedics
Suffering from Fatigue and general weakness,General Physician
Breast lump or pain for 4 days,Gynecology
sharp Presenting with Ringing in ears and vertigo,ENT
Presenting with Wrist pain with numbness in fingers in the evening,Orthopedics
Common cold symptoms occasionally,General Physician
Having symptoms of Blurred eyesight and eye tenderness,Ophthalmology
I'm experiencing Swollen joints with redness,Rheumatology
Rapid breathing with anxiety in the morning,Pulmonology
Insomnia and sleep disturbances lasting 11 days occasionally,Psychiatry
dull Acne and facial breakouts in the evening,Dermatology
I'm experiencing Depression with loss of interest,Psychiatry
Double vision and floaters,Ophthalmology
Kidney stone tenderness in side for 5 days,Urology
Insomnia and difficulty sleeping,Psychiatry
intense Chronic cough with blood in sputum at night,Pulmonology
weariness and weakness,General Physician
Having symptoms of Blurred vision and eye pain,Ophthalmology
Painful bladder with urgency intermittently,Urology
Hip pain when walking,Orthopedics
dull unbearable Frequent urination at night,Urology
Sudden loss of vision in one eye ongoing for 11 days,Ophthalmology
breast mild discomfort with cold sweats for 3 weeks,Cardiology
Neck stiffness and discomfort,Orthopedics
extreme Depression with loss of interest,Psychiatry
Shoulder moderate pain limiting movement occasionally,Orthopedics
Fibromyalgia with widespread agony since 10 days ago at night,Rheumatology
Chronic diarrhea and weight loss,Gastroenterology
High blood pressure and vertigo,Cardiology
Chronic stomach pain and indigestion for 7 weeks,Gastroenterology
Shoulder severe pain with limited movement,Orthopedics
Persistent headache with nausea and vomiting,Neurology
Burning sensation in upper abdomen constantly,Gastroenterology
extreme apprehension and panic attacks,Psychiatry
moderate Chronic hack with blood in sputum,Pulmonology
throbbing Acne breakouts on face and back,Dermatology
Having symptoms of Health concern not specific to any organ constantly,General Physician
throbbing extreme eczema with dry cracked skin lasting 1 days,Dermatology
Fracture with severe bone severe pain,Orthopedics
Sore throat with problem swallowing in the evening,ENT
I'm experiencing Cold and flu symptoms,General Physician
Heartburn after eating fatty foods for 7 weeks,Gastroenterology
Pregnancy symptoms and morning sickness ongoing for 2 days since 11 days ago,Gynecology
unsteadiness and balance problems intermittently,Neurology
Pregnancy symptoms and morning sickness frequently,Gynecology
Skin skin irritation with itching lasting 11 days,Dermatology
Migraine with nausea and light sensitivity for the past 12 days,Neurology
Swollen tonsils with white patches since 3 days ago,ENT
Racing heart with anxiety and breast severe pain lasting 13 days,Cardiology
Shoulder pain with limited movement for the past 4 days,Orthopedics
Dealing with Ear pain with hearing loss,ENT
Currently having Night sweats with persistent cough,Pulmonology
Ankle sprain with inflammation,Orthopedics
Sudden sharp headache like thunderclap for 1 days,Neurology
Severe menstrual cramps,Gynecology
High blood pressure and lightheadedness periodically frequently,Cardiology
Erectile dysfunction,Urology
I'm experiencing Angina pain with arm numbness,Cardiology
tingling and tingling in extremities for 9 weeks constantly,Neurology
dull Acid reflux and hard time swallowing,Gastroenterology
extreme Ankle sprain with bruising,Orthopedics
